,Wine,Vintage,Format,Region,Cost,Qty,Negoce
299,CHATEAU LE GAY,2013,75cl,Bordeaux,48.0,0,Joanne
300,CHATEAU LE GAY,2008,75cl,Bordeaux,75.0,0,Joanne
301,CHATEAU LE GAY,2007,75cl,Bordeaux,42.0,0,Joanne
302,CHATEAU LE GAY,2006,75cl,Bordeaux,60.0,0,Joanne
303,CHATEAU LE GAY,2005,75cl,Bordeaux,150.0,0,Joanne
304,CHATEAU L'EVANGILE,2012,75cl,Bordeaux,105.0,0,Joanne
305,CHATEAU L'EVANGILE,2011,75cl,Bordeaux,92.0,0,Joanne
306,CHATEAU MAZEYRES,2013,75cl,Bordeaux,13.5,0,Joanne
307,CHATEAU MAZEYRES,2012,75cl,Bordeaux,14.5,0,Joanne
308,CHATEAU NENIN,2013,75cl,Bordeaux,27.0,0,Joanne
309,CHATEAU NENIN,2011,75cl,Bordeaux,30.0,0,Joanne
310,CHATEAU NENIN,2010,75cl,Bordeaux,42.0,0,Joanne
311,CHATEAU NENIN,2004,75cl,Bordeaux,34.0,0,Joanne
312,CHATEAU PETIT VILLAGE,2013,75cl,Bordeaux,37.0,0,Joanne
313,CHATEAU PETIT VILLAGE,2012,75cl,Bordeaux,38.5,0,Joanne
314,CHATEAU ROUGET,2013,75cl,Bordeaux,22.2,0,Joanne
315,CHATEAU ROUGET,2011,75cl,Bordeaux,24.5,0,Joanne
316,CHATEAU ROUGET,2010,75cl,Bordeaux,33.0,0,Joanne
317,CHATEAU SACRE COEUR,2013,75cl,Bordeaux,15.7,0,Joanne
