,Wine,Vintage,Format,Region,Cost,Qty,Negoce
264,CH. LAFON ROCHET,2013,150cl,Bordeaux,44.5,0,Dubos
265,CH. LILIAN LADOUYS,2013,150cl,Bordeaux,23.75,0,Dubos
266,CH. ORMES DE PEZ,2013,150cl,Bordeaux,33.0,0,Dubos
267,CH. PHELAN SEGUR,2013,150cl,Bordeaux,43.5,0,Dubos
268,CH. GRAND PUY LACOSTE,2013,150cl,Bordeaux,66.0,0,Dubos
269,CH. HAUT BAGES LIBERAL,2013,150cl,Bordeaux,42.0,0,Dubos
270,CH. HAUT BATAILLEY,2013,150cl,Bordeaux,44.5,0,Dubos
271,LACOSTE BORIE,2013,150cl,Bordeaux,28.65,0,Dubos
272,CH. PEDESCLAUX,2013,150cl,Bordeaux,38.0,0,Dubos
273,CH. LEOVILLE BARTON,2013,150cl,Bordeaux,90.0,0,Dubos
274,CH. LEOVILLE POYFERRE,2013,150cl,Bordeaux,82.0,0,Dubos
275,ALTER EGO DE PALMER,2013,150cl,Bordeaux,80.0,0,Dubos
276,LE BARON DE BRANE,2013,150cl,Bordeaux,31.5,0,Dubos
277,BLASON D'ISSAN,2013,150cl,Bordeaux,29.5,0,Dubos
278,BRIO DU CH. CANTENAC BROWN,2013,150cl,Bordeaux,31.65,0,Dubos
279,CH. CANTENAC BROWN,2013,150cl,Bordeaux,51.0,0,Dubos
280,CH. DESMIRAIL,2013,150cl,Bordeaux,36.8,0,Dubos
281,CH. DURFORT VIVENS,2013,150cl,Bordeaux,46.0,0,Dubos
282,CH. GISCOURS,2013,150cl,Bordeaux,65.0,0,Dubos
283,LES HAUTS DU TERTRE,2013,150cl,Bordeaux,28.25,0,Dubos
284,CH. KIRWAN,2013,150cl,Bordeaux,45.8,0,Dubos
285,CH. MONBRISON,2013,150cl,Bordeaux,32.4,0,Dubos
286,CH. SIRAN,2013,150cl,Bordeaux,29.0,0,Dubos
287,LES ALLEES DE CANTEMERLE,2013,150cl,Bordeaux,18.75,0,Dubos
288,LE HAUT-MEDOC DE GISCOURS,2013,150cl,Bordeaux,22.0,0,Dubos
289,CH. LA LAGUNE,2013,150cl,Bordeaux,55.8,0,Dubos
290,CH. LANESSAN,2013,150cl,Bordeaux,18.4,0,Dubos
291,CH. LARRIVAUX,2013,150cl,Bordeaux,14.5,0,Dubos
292,CH. CHASSE SPLEEN,2013,150cl,Bordeaux,36.0,0,Dubos
293,CH. POUJEAUX,2013,150cl,Bordeaux,33.0,0,Dubos
294,CH. CANON,2013,150cl,Bordeaux,78.0,0,Dubos
295,CLOS FOURTET,2013,150cl,Bordeaux,112.0,0,Dubos
296,CHÂTEAU FAURIE DE SOUCHARD,2013,150cl,Bordeaux,45.6,0,Dubos
297,CH. FIGEAC,2013,150cl,Bordeaux,116.0,0,Dubos
298,CH. GRAND CORBIN DESPAGNE,2013,150cl,Bordeaux,31.65,0,Dubos
299,CH. PAVIE MACQUIN,2013,150cl,Bordeaux,65.0,0,Dubos
300,CH. TROPLONG MONDOT,2013,150cl,Bordeaux,110.0,0,Dubos
301,CH. NENIN,2013,150cl,Bordeaux,57.0,0,Dubos
302,CH. TAILLEFER,2013,150cl,Bordeaux,26.8,0,Dubos
303,CH. BOUSCAUT ROUGE,2013,150cl,Bordeaux,32.6,0,Dubos
304,BORDEAUX DE MAUCAILLOU,2013,150cl,Bordeaux,8.0,0,Dubos
305,ALMAVIVA,2013,150cl,Puente Alto,138.0,0,Dubos
306,CH. PEDESCLAUX,2014,150cl,Bordeaux,50.0,0,Dubos
307,RESERVE DE LA COMTESSE,2014,150cl,Bordeaux,45.6,0,Dubos
308,BLASON D'ISSAN,2014,150cl,Bordeaux,30.75,0,Dubos
309,CH. D'ISSAN,2014,150cl,Bordeaux,63.0,0,Dubos
310,CHÂTEAU FAURIE DE SOUCHARD,2014,150cl,Bordeaux,47.5,0,Dubos
311,CH. FLEUR CARDINALE,2014,150cl,Bordeaux,54.0,0,Dubos
312,CH. FONROQUE,2014,150cl,Bordeaux,31.5,0,Dubos
313,CH. L'EVANGILE,2014,150cl,Bordeaux,190.0,0,Dubos
314,CH. GAZIN,2014,150cl,Bordeaux,96.0,0,Dubos
315,CH. LA POINTE,2014,150cl,Bordeaux,43.0,0,Dubos
316,CH. TAILLEFER,2014,150cl,Bordeaux,28.5,0,Dubos
317,CH. FERRAN,2014,150cl,Bordeaux,18.0,0,Dubos
318,CH. CROIX MOUTON,2014,150cl,Bordeaux,13.75,0,Dubos
319,CH. LEOVILLE BARTON,2013,3000cl,Bordeaux,1280.0,0,Dubos
320,CH. SMITH HAUT LAFITTE,2013,3000cl,Bordeaux,1250.0,0,Dubos
321,CH. PONTET CANET,2013,1500cl,Bordeaux,1435.0,0,Dubos
322,CH. LEOVILLE BARTON,2013,1500cl,Bordeaux,1080.0,0,Dubos
323,CH. LA TOUR CARNET,2013,1500cl,Bordeaux,535.0,0,Dubos
324,CH. PICHON BARON,2013,900cl,Bordeaux,800.0,0,Dubos
325,CH. LEOVILLE BARTON,2013,900cl,Bordeaux,695.0,0,Dubos
326,CH. LA TOUR CARNET,2013,900cl,Bordeaux,380.0,0,Dubos
327,CH. DUCRU BEAUCAILLOU,1970,75cl,Bordeaux,300.0,0,Dubos
328,CH. DUCRU BEAUCAILLOU,1982,75cl,Bordeaux,380.0,0,Dubos
329,CH. DUCRU BEAUCAILLOU,1985,75cl,Bordeaux,135.0,0,Dubos
330,CHATEAU LA CABANNE,1985,75cl,Bordeaux,145.0,0,Dubos
