,Wine,Vintage,Format,Cost,Qty,Negoce
391,Bonnes Mares - Dujac,2007,750ml,350.0,2,CVBG
392,Clos de Bèze - Rousseau,2011,750ml,790.0,2,CVBG
393,Clos Apalta,2009,750ml,65.0,2,CVBG
394,Sena,2013,750ml,75.0,2,CVBG
395,Sena,2009,750ml,77.0,2,CVBG
396,Solaia,2013,750ml,140.0,2,CVBG
397,Solaia,2011,750ml,130.0,2,CVBG
398,Hommage à Jacques Perrin,2014,750ml,230.0,2,CVBG
399,Hommage à Jacques Perrin,2007,750ml,480.0,2,CVBG
400,Latour Martillac rouge,2007,1500ml,50.0,2,CVBG
401,Clos Apalta,2012,1500ml,115.0,2,CVBG
402,Solaia,2009,1500ml,300.0,2,CVBG
403,Hommage à Jacques Perrin,2013,1500ml,500.0,2,CVBG
404,Hommage à Jacques Perrin,2012,1500ml,620.0,2,CVBG
405,Hommage à Jacques Perrin,2011,1500ml,600.0,2,CVBG
406,Yquem,2013,12000ml,4150.0,2,CVBG
407,Petit Village,2012,15000ml,1190.0,2,CVBG
408,Yquem,2014,15000ml,5000.0,2,CVBG
409,Yquem,2013,15000ml,5250.0,2,CVBG
410,Margaux,2014,3000ml,1400.0,2,CVBG
411,Lafite Rothschild,2005,3000ml,3750.0,2,CVBG
412,Pontet Canet,2014,3000ml,300.0,2,CVBG
413,Cheval Blanc,2012,3000ml,1600.0,2,CVBG
414,Ornellaia,2013,3000ml,430.0,2,CVBG
415,Ornellaia,2012,3000ml,435.0,2,CVBG
416,Ornellaia,2011,3000ml,475.0,2,CVBG
417,Brane Cantenac,2005,5000ml,770.0,2,CVBG
418,Brane Cantenac,2001,5000ml,530.0,2,CVBG
419,Brane Cantenac,2000,5000ml,790.0,2,CVBG
420,Belgrave,2001,6000ml,212.0,2,CVBG
421,Brane Cantenac,2005,6000ml,920.0,2,CVBG
422,Malescot Saint Exupery,2014,6000ml,300.0,2,CVBG
423,Clerc Milon,2005,6000ml,680.0,2,CVBG
424,Latour,2007,6000ml,3200.0,2,CVBG
425,Lafleur,2006,6000ml,7000.0,2,CVBG
426,Pavie,2014,6000ml,1600.0,2,CVBG
427,Ornellaia,2014,6000ml,1035.0,2,CVBG
428,Domaine de Chevalier rouge,2012,9000ml,600.0,2,CVBG
429,Yquem,2013,9000ml,3100.0,2,CVBG
430,Gruaud Larose,2004,5000ml,420.0,20,CVBG
431,Joanin Bécot,2013,750ml,12.0,204,CVBG
432,Peyrabon,2002,750ml,7.3,204,CVBG
433,Lafite Rothschild,2012,750ml,470.0,204,CVBG
434,Montviel,2015,750ml,22.0,204,CVBG
435,Montviel,2012,750ml,19.2,204,CVBG
436,Nénin,2010,750ml,44.0,204,CVBG
437,Dominique (la),2010,750ml,40.0,204,CVBG
438,Langoa Barton,2014,750ml,33.0,204,CVBG
439,Sigalas Rabaud,2009,750ml,30.0,204,CVBG
440,Almaviva,2011,750ml,82.0,204,CVBG
441,Ausone,2012,750ml,420.0,21,CVBG
442,Mission Haut Brion ,2006,3000ml,1320.0,21,CVBG
443,R de Rieussec,2015,750ml,12.0,210,CVBG
444,Fleur Peyrabon,2013,750ml,12.5,210,CVBG
445,Eglise Clinet,2013,750ml,120.0,210,CVBG
446,Cambon la pelouse,2014,375ml,5.1,216,CVBG
447,Malescot Saint Exupery,2014,375ml,16.0,216,CVBG
448,Lynch Bages,2000,375ml,112.0,216,CVBG
449,Réserve de la Comtesse,2015,375ml,14.0,216,CVBG
450,Carlmagnus,2011,750ml,8.5,216,CVBG
451,Gurgue (la),2015,750ml,13.9,216,CVBG
452,Marquis de Terme,2014,750ml,24.0,216,CVBG
453,La Garde Blanc,2013,750ml,15.0,216,CVBG
454,Smith Haut Lafitte Rouge,2014,750ml,60.0,216,CVBG
455,Canon la Gaffelière,2012,750ml,48.0,216,CVBG
456,Corbin,2014,750ml,17.5,216,CVBG
457,Dragon de Quintus,2013,750ml,15.0,216,CVBG
458,Meyney,2006,750ml,23.5,216,CVBG
459,Vinedo Chadwick,2010,750ml,175.0,216,CVBG
460,Saint-Pierre,2012,750ml,30.6,222,CVBG
461,Vinedo Chadwick,2011,750ml,165.0,225,CVBG
462,Yquem,2011,375ml,125.0,228,CVBG
463,Lune d'Argent,2015,750ml,8.35,228,CVBG
464,Confession,2012,750ml,19.5,228,CVBG
465,N°2 de Maucaillou,2014,750ml,9.5,234,CVBG
466,Léoville Las Cases,2007,750ml,130.0,234,CVBG
467,Taylors Vintage,2003,750ml,62.0,234,CVBG
468,Petit Caillou,2014,1500ml,30.0,234,CVBG
469,Lafite Rothschild,2007,375ml,350.0,24,CVBG
470,Yquem,2014,375ml,125.0,24,CVBG
471,Climens,2010,750ml,72.0,24,CVBG
472,Cos d'Estournel Blanc,2015,750ml,85.0,24,CVBG
473,Pavillon blanc,2003,750ml,165.0,24,CVBG
474,Sénéjac,2011,750ml,8.2,24,CVBG
475,Alter Ego,2014,750ml,45.0,24,CVBG
