,                          THE CLASSICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
236,2012,CH. LAFITE ROTHSCHILD,Imp.,1ST GCC,Pauillac,1,cs,/1,3350,91,18.50,94,95
237,2013,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,5,cs,,375,87-89,18.25,89-92,92-93
238,,,,,,,,,,,,,
239,1997,CH. LATOUR,Mag.,1ST GCC,Pauillac,1,cs,,798,89,,,
240,1999,CH. LATOUR,,1ST GCC,Pauillac,1,cs,,490,93,,93,
241,2000,CH. LATOUR,,1ST GCC,Pauillac,3,cs,,850,98,,100,100
242,2003,CH. LATOUR,,1ST GCC,Pauillac,15,cs,,790,100,,98,
243,2003,CH. LATOUR,Mag.,1ST GCC,Pauillac,2,cs,,1580,100,,98,
244,2004,CH. LATOUR,,1ST GCC,Pauillac,10,cs,,468,95,,95,93
245,2006,CH. LATOUR,,1ST GCC,Pauillac,17,cs,,525,95,*****,95,
246,,,,,,,,,,,,,
247,2005,CH. LYNCH BAGES,,5TH GCC,Pauillac,1,cs,,140,92,**** 18,92-94,
248,2012,CH. LYNCH BAGES,,5TH GCC,Pauillac,18,cs,,83,87,17.5,92,92
249,2013,CH. LYNCH BAGES,,5TH GCC,Pauillac,120,cs,,72,86-88,17.25,89-92,91-92
250,,,,,,,,,,,,,
251,2009,CH. LYNCH MOUSSAS,,5TH GCC,Pauillac,4,cs,,34,88,*** 16,,
252,2011,CH. LYNCH MOUSSAS,,5TH GCC,Pauillac,150,cs,,22.5,,*** 16+,,92
253,2012,CH. LYNCH MOUSSAS,,5TH GCC,Pauillac,3,cs,,21.8,89,16.25,,89-90
254,2012,CH. LYNCH MOUSSAS,Half,5TH GCC,Pauillac,1,cs,,11.5,89,16.25,,89-90
255,2012,CH. LYNCH MOUSSAS,Mag.,5TH GCC,Pauillac,2,cs,,43,89,16.25,,89-90
256,2014,CH. LYNCH MOUSSAS,,,Pauillac,100,cs,,21.9,,16.75/20,,
257,,,,,,,,,,,,,
258,1990,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,1,cs,,425,84,,,90
259,1994,CH. MOUTON ROTHSCHILD,Mag.,1ST GCC,Pauillac,1,cs,,700,91,,91,91
260,1995,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,9,cs,,525,95,,,95
261,1995,CH. MOUTON ROTHSCHILD,Mag.,1ST GCC,Pauillac,2,cs,,1100,95,,,95
262,1999,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,2,cs,,470,93,,91,93
263,1999,CH. MOUTON ROTHSCHILD,Mag.,1ST GCC,Pauillac,6,cs,,960,93,,91,93
264,1999,CH. MOUTON ROTHSCHILD,Jero.,1ST GCC,Pauillac,1,cs,/1,3380,93,,91,93
265,1999,CH. MOUTON ROTHSCHILD,Imp.,1ST GCC,Pauillac,1,cs,/1,4100,93,,91,93
266,2001,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,2,cs,,435,89,,,94
267,2003,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,9,cs,,435,91,,94,92
